0,0
-0.04245048,0.02608854
-0.08727755,0.05157904
-0.1314543,0.07496957
-0.1773545,0.09772859
-0.2230641,0.1190458
-0.2695355,0.1395178
-0.3166893,0.1592016
-0.3634279,0.1777512
-0.4115008,0.1959379
-0.4587846,0.2130307
-0.5067471,0.2296389
-0.5554236,0.2458096
-0.6032177,0.261073
-0.6519575,0.2760624
-0.7007973,0.2905441
-0.7492259,0.3044112
-0.7984476,0.3180386
-0.8475099,0.3311853
-0.896352,0.343869
-0.9458622,0.3563408
-0.9952046,0.3684082
-1.044315,0.3800813
-1.093989,0.3915659
-1.143647,0.4027404
-1.192933,0.4135453
-1.242695,0.424181
-1.292675,0.434601
-1.342081,0.4446561
-1.391888,0.4545586
-1.442079,0.4643111
-1.491663,0.4737331
-1.541495,0.4829995
-1.591647,0.4921298
-1.641601,0.501038
-1.691455,0.5097514
-1.741571,0.5183406
-1.791821,0.5267892
-1.841706,0.5350214
-1.891803,0.5431398
-1.942096,0.5511469
-1.992189,0.5589855
-2.042288,0.5666944
-2.092537,0.5743011
-2.142842,0.5817958
-2.192972,0.5891497
-2.243208,0.5964093
-2.293537,0.603577
-2.343796,0.610634
-2.394054,0.6175948
-2.444364,0.6244709
-2.494702,0.6312631
-2.54502,0.6379691
-2.595348,0.6445968
-2.645673,0.6511486
-2.696049,0.6576352
-2.746436,0.664055
-2.796779,0.670405
-2.847089,0.6766905
-2.897576,0.6829408
-2.947977,0.6891271
-2.998277,0.6952515
-3.048719,0.701347
-3.099216,0.7074064
-3.14957,0.7134095
-3.199825,0.719366
-3.250457,0.7253352
-3.300898,0.7312537
-3.351132,0.737124
-3.401666,0.7430089
-3.452226,0.7488802
-3.502528,0.754709
-3.552823,0.7605287
-3.60353,0.7663919
-3.653919,0.7722186
-3.703973,0.7780113
-3.754795,0.7839023
-3.805284,0.7897694
-3.855369,0.7956092
-3.906018,0.80154
-3.956606,0.8074948
-4.00671,0.8134297
-4.057209,0.8194551
-4.107875,0.8255517
-4.157963,0.8316369
-4.208385,0.8378291
-4.259078,0.8441309
-4.309079,0.8504312
-4.359552,0.8568869
-4.410176,0.8634707
-4.45997,0.8700655
-4.510118,0.8767617
-4.560416,0.883341
-4.610766,0.8897817
-4.661143,0.8960813
-4.711483,0.9022334
-4.76193,0.9082567
-4.812266,0.9141269
-4.862777,0.9198787
-4.913111,0.9254739
-4.963678,0.9309595
-5.01406,0.9362921
-5.064632,0.9415129
-5.115067,0.9465903
-5.165637,0.9515538
-5.216118,0.9563832
-5.26669,0.9610984
-5.317211,0.965688
-5.367787,0.9701644
-5.418343,0.9745232
-5.468925,0.9787712
-5.519508,0.9829087
-5.5701,0.9869391
-5.620708,0.9908658
-5.671309,0.9946901
-5.721936,0.9984176
-5.772549,1.002048
-5.823193,1.005588
-5.873816,1.009038
-5.924471,1.012404
-5.975107,1.015686
-6.025771,1.018892
-6.07642,1.022021
-6.12709,1.02508
-6.17775,1.028071
-6.228423,1.031
-6.279096,1.033869
-6.32977,1.036682
-6.380454,1.039445
-6.431126,1.042161
-6.481822,1.044834
-6.532493,1.047469
-6.583198,1.050071
-6.633863,1.052643
-6.684578,1.055192
-6.73524,1.057719
-6.785962,1.060233
-6.83662,1.062735
-6.887347,1.065234
-6.938002,1.06773
-6.988731,1.070234
-7.039396,1.072744
-7.090114,1.075271
-7.140785,1.077817
-7.19149,1.080389
-7.242168,1.082989
-7.292861,1.085626
-7.343541,1.088304
-7.394222,1.091027
-7.444896,1.093814
-7.495561,1.096723
-7.546237,1.099752
-7.596892,1.102888
-7.647548,1.106121
-7.698201,1.109441
-7.748826,1.112834
-7.799485,1.116296
-7.850113,1.119809
-7.900743,1.123366
-7.951386,1.126955
-8.001988,1.130563
-8.052642,1.134184
-8.103266,1.137801
-8.153879,1.141404
-8.204535,1.144985
-8.255145,1.148526
-8.305796,1.152021
-8.356445,1.155454
-8.407045,1.15881
-8.457744,1.162086
-8.508392,1.165259
-8.559038,1.168318
-8.609745,1.171253
-8.660395,1.174044
-8.711093,1.176682
-8.761811,1.17915
-8.812469,1.181428
-8.86322,1.183509
-8.913953,1.18537
-8.964621,1.186993
-9.015419,1.188367
-9.066167,1.189467
-9.116846,1.190276
-9.167669,1.190776
-9.218429,1.190944
-9.269114,1.19076
-9.319935,1.1902
-9.370691,1.189243
-9.421368,1.187865
-9.472134,1.186036
-9.522861,1.183733
-9.573499,1.180933
-9.62414,1.1776
-9.674792,1.173703
-9.725302,1.169278
-9.775849,1.164779
-9.826393,1.160288
-9.876934,1.155769
-9.927497,1.15118
-9.978047,1.146484
-10.02858,1.141639
-10.07909,1.136602
-10.12957,1.13133
-10.18002,1.125778
-10.23043,1.119898
-10.28079,1.113642
-10.3311,1.10696
-10.38134,1.099801
-10.4315,1.092112
-10.48157,1.083838
-10.53155,1.07492
-10.58139,1.065305
-10.63108,1.054934
-10.68059,1.043749
-10.72989,1.03169
-10.77895,1.0187
-10.82775,1.004718
-10.87622,0.9896888
-10.92435,0.9735581
-10.97206,0.9562737
-11.01933,0.9377875
-11.06609,0.918057
-11.11228,0.8970446
-11.15786,0.8747206
-11.20275,0.8510617
-11.24689,0.8261541
-11.29048,0.8001511
-11.33348,0.7731782
-11.3759,0.745298
-11.41775,0.7165646
-11.45904,0.6870254
-11.49978,0.6567212
-11.53997,0.625689
-11.57961,0.5939596
-11.61868,0.561581
-11.65721,0.5285522
-11.6952,0.4948906
-11.73264,0.4606147
-11.76953,0.4257391
-11.80586,0.3902786
-11.84161,0.3542446
-11.87677,0.3176455
-11.91134,0.2804756
-11.9453,0.2427365
-11.97862,0.2044349
-12.01129,0.1655728
-12.04327,0.1261485
-12.07454,0.08616041
-12.10505,0.04560333
-12.13477,0.004469082
-12.16365,-0.03725145
-12.19164,-0.07956953
-12.21868,-0.1225082
